Coffin Upon Coffin,Aborted,3e-06,0.253111,205.68,0.978637,0.881849,2,0.171865,-4.746,1,0.174742,106.395,4,0.19444
Chronicles of Detruncation,Aborted,2e-06,0.38116,187.34667,0.98939,0.904879,6,0.325177,-4.592,1,0.212168,127.154,4,0.081043
Sade & Libertine Lunacy,Aborted,1e-06,0.474755,221.09995,0.992221,0.892815,7,0.32124,-5.41,1,0.243654,119.999,4,0.0444
Die Verzweiflung,Aborted,1.5e-05,0.438729,148.56,0.986556,0.827401,2,0.476877,-5.472,1,0.152739,90.089,3,0.107082
Excremental Veracity,Aborted,2e-06,0.47566,158.10667,0.993787,0.895603,1,0.298437,-4.448,1,0.248556,130.08,4,0.08322
Purity Of Perversion,Aborted,2e-06,0.323983,164.17914,0.976149,0.922054,6,0.082342,-5.521,1,0.166405,119.212,4,0.098294
Of Dead Skin & Decay,Aborted,1.6e-05,0.259358,188.04,0.976648,0.649565,1,0.490842,-5.587,0,0.243387,127.839,4,0.042411
Cenobites,Aborted,2.7e-05,0.209791,328.46667,0.987901,0.892291,4,0.370592,-4.86,1,0.422128,118.905,4,0.035784
Arise,Aborted,1e-05,0.27787,202.2283,0.982228,0.873124,7,0.131468,-5.469,1,0.172514,115.593,4,0.120198
Carnal Forge (Bonus track): CARNAL FORGE ( BONUS TRACK  ),Aborted,4e-06,0.081817,242.10667,0.985998,0.941672,6,0.066061,-3.578,1,0.120595,186.166,4,0.079484
Gestated Rabidity (Bonus track): GESTATED RABIDITY ( BONUS TRACK ),Aborted,6.8e-05,0.288127,253.44,0.978748,0.933145,1,0.10018,-4.04,0,0.153019,120.031,3,0.286446
Voracious Haemoglobinic Syndrome (Bonus track): VORACIOUS HAEMOGLOBINIC SYNDROME ( BONUS TRACK ),Aborted,0.000107,0.277425,246.90667,0.96971,0.859744,1,0.321348,-3.824,0,0.13331,117.474,4,0.262974
Drowned (Bonus track): DROWNED ( BONUS TRACK ),Aborted,2.4e-05,0.321477,226.84,0.980588,0.786786,4,0.118024,-3.528,1,0.131847,113.603,4,0.275218
The Chondrin Enigma,Aborted,1.4e-05,0.250039,259.8,0.931233,0.738984,7,0.109769,-5.842,1,0.138721,109.992,4,0.168201
A Methodical Overture,Aborted,3e-06,0.329317,204.79955,0.945892,0.827341,3,0.32043,-6.365,0,0.071039,109.692,4,0.262954
Avenious,Aborted,1e-05,0.157597,281.32,0.9819,0.914265,2,0.144905,-4.102,1,0.108632,171.93,4,0.071826
The Spaying Seance,Aborted,2e-06,0.300307,264.61333,0.979564,0.901427,9,0.121674,-4.545,1,0.097261,115.389,4,0.149526
And Carnage Basked In Its Ebullience,Aborted,1.9e-05,0.207848,190.44961,0.946874,0.909494,0,0.377801,-7.003,1,0.089779,111.166,3,0.084025
The Foul Nucleus Of Resurrection,Aborted,9e-06,0.332967,253.30667,0.978136,0.75727,1,0.081742,-5.656,0,0.096068,104.99,4,0.176753
Archetype: Malice & Scorn,Aborted,1.7e-05,0.273435,192.0,0.965384,0.790535,1,0.164454,-4.824,0,0.097109,110.793,3,0.257891
Odious Emanation,Aborted,7e-06,0.192993,216.87392,0.944921,0.822019,7,0.088287,-5.809,1,0.071229,100.798,1,0.264031
Prolific Murder Contrivance,Aborted,4e-06,0.233738,186.73333,0.967371,0.806317,0,0.089634,-5.087,0,0.09051,109.75,4,0.335751
Underneath Rorulent Soil,Aborted,3.6e-05,0.194723,290.69333,0.871566,0.514054,3,0.074427,-5.964,0,0.091282,100.229,4,0.08587
Surprise You're Dead,Aborted,8e-06,0.318764,134.34667,0.966432,0.872131,4,0.35364,-5.446,0,0.082738,104.498,4,0.371246
High Velocity Impact Spatter,Cannibal Corpse,0.001583,0.301208,246.90667,0.99728,0.074834,8,0.330731,-3.095,0,0.275312,175.89,4,0.037446
Sadistic Embodiment,Cannibal Corpse,0.000249,0.497616,197.30667,0.997465,0.759079,8,0.058625,-3.298,1,0.207269,116.053,3,0.058015
Kill or Become,Cannibal Corpse,0.00097,0.366998,230.66667,0.997322,0.080206,1,0.077641,-2.695,0,0.228491,115.024,4,0.056254
A Skeletal Domain,Cannibal Corpse,0.000149,0.495464,218.77333,0.99442,0.491119,1,0.061675,-2.685,1,0.188555,100.054,4,0.13547
Headlong into Carnage,Cannibal Corpse,0.00064,0.517204,181.25333,0.996907,0.005613,1,0.332244,-3.075,1,0.168001,102.041,4,0.159597
The Murderer's Pact,Cannibal Corpse,0.00012,0.448742,305.22667,0.988502,0.113998,8,0.279754,-3.601,1,0.210853,145.876,4,0.072098
Funeral Cremation,Cannibal Corpse,0.001391,0.310581,221.89333,0.982724,0.08869,8,0.169701,-3.062,1,0.226602,196.106,4,0.046253
Icepick Lobotomy,Cannibal Corpse,0.000228,0.474418,196.24,0.996523,0.016324,10,0.337369,-2.889,0,0.276215,119.938,3,0.061791
Vector of Cruelty,Cannibal Corpse,0.003835,0.339069,205.14667,0.99129,0.006449,10,0.573614,-2.403,0,0.175734,113.374,4,0.214571
Bloodstained Cement,Cannibal Corpse,0.000628,0.543766,221.98667,0.995799,0.011955,1,0.18033,-2.853,1,0.116185,105.996,4,0.136148
Asphyxiate to Resuscitate,Cannibal Corpse,0.001581,0.275745,227.4,0.997418,0.329716,10,0.301099,-2.849,0,0.173438,114.671,3,0.145852
